# Spherical Bessel functions via up and down recursion, l = 10
#   x       jdown(x)      jup(x)         rel. error          log10(x)    log10(rel.err.)   Bessel GSL Routuine
3.20000000 6.54125051e-06 6.54125077e-06  2.02067961e-08  5.05149978e-01  -7.69450254e+00  6.54125051e-06
3.30000000 8.77095477e-06 8.77095484e-06  4.14131520e-09  5.18513940e-01  -8.38286171e+00  8.77095477e-06
3.40000000 1.16477730e-05 1.16477727e-05  1.31764926e-08  5.31478917e-01  -7.88020018e+00  1.16477730e-05
3.50000000 1.53277870e-05 1.53277872e-05  7.75816165e-09  5.44068044e-01  -8.11024118e+00  1.53277870e-05
3.60000000 1.99971251e-05 1.99971251e-05  2.57509281e-10  5.56302501e-01  -9.58920711e+00  1.99971251e-05
3.70000000 2.58762175e-05 2.58762175e-05  3.53173959e-10  5.68201724e-01  -9.45201133e+00  2.58762175e-05
3.80000000 3.32243988e-05 3.32243988e-05  2.27277138e-10  5.79783597e-01  -9.64344425e+00  3.32243988e-05
3.90000000 4.23448503e-05 4.23448502e-05  6.96858001e-10  5.91064607e-01  -9.15685571e+00  4.23448503e-05
4.00000000 5.35898658e-05 5.35898658e-05  3.34704129e-10  6.02059991e-01  -9.47533893e+00  5.35898658e-05
4.10000000 6.73664216e-05 6.73664217e-05  4.29168989e-10  6.12783857e-01  -9.36737167e+00  6.73664216e-05
4.20000000 8.41420218e-05 8.41420219e-05  2.35539324e-10  6.23249290e-01  -9.62793658e+00  8.41420218e-05
4.30000000 1.04450783e-04 1.04450783e-04  4.58832968e-11  6.33468456e-01  -1.03383454e+01  1.04450783e-04
4.40000000 1.28899719e-04 1.28899719e-04  4.03643293e-11  6.43452676e-01  -1.03940023e+01  1.28899719e-04
4.50000000 1.58175164e-04 1.58175164e-04  3.45300984e-12  6.53212514e-01  -1.14618022e+01  1.58175164e-04
4.60000000 1.93049293e-04 1.93049293e-04  1.71578922e-11  6.62757832e-01  -1.07655361e+01  1.93049293e-04
4.70000000 2.34386654e-04 2.34386654e-04  4.59725121e-12  6.72097858e-01  -1.13375018e+01  2.34386654e-04
4.80000000 2.83150650e-04 2.83150650e-04  8.30447564e-12  6.81241237e-01  -1.10806878e+01  2.83150650e-04
4.90000000 3.40409877e-04 3.40409877e-04  4.07909676e-12  6.90196080e-01  -1.13894360e+01  3.40409877e-04
5.00000000 4.07344244e-04 4.07344244e-04  3.76288813e-12  6.98970004e-01  -1.14244787e+01  4.07344244e-04
